ax,ay,az,gx,gy,gz
1.4094,-0.1484,-0.4624,-20.6794,84.3206,98.6412
1.4622,-0.1516,-0.4839,-23.2672,82.0382,97.1221
1.5186,-0.1584,-0.5037,-25.5954,79.1908,95.1145
1.5718,-0.1577,-0.53,-28.5191,75.8244,92.3664
1.6404,-0.1558,-0.5715,-31.7328,73.0382,89.687
1.6733,-0.1538,-0.5828,-35.2061,68.9771,87.0076
1.7356,-0.1497,-0.6248,-39.7939,65.7863,83.3588
1.7983,-0.1462,-0.6799,-44.3359,65.1374,78.7786
1.8655,-0.1558,-0.7219,-49.7863,64.5878,74.1679
1.9175,-0.1584,-0.7698,-55.3664,64.6336,68.7405
1.9705,-0.1648,-0.8152,-61.6489,64.7176,62.9847
1.9999,-0.1824,-0.835,-68.5954,64.9008,57.1298
1.9999,-0.1826,-0.8403,-76.0,63.9924,50.6718
1.9999,-0.1699,-0.8403,-85.7252,62.6489,42.5115
1.9999,-0.1628,-0.8381,-94.4657,61.1832,35.3359
1.9999,-0.157,-0.8428,-103.1145,59.9237,28.0763
1.9999,-0.1482,-0.8455,-112.2137,58.771,20.7099
1.9999,-0.1479,-0.834,-121.0,58.2824,13.1145
1.9999,-0.1462,-0.8252,-130.2214,57.8702,5.3893
1.9999,-0.1489,-0.8098,-139.4962,57.855,-2.5725
1.9999,-0.1597,-0.7917,-148.0992,58.1679,-10.4962
1.9999,-0.1763,-0.7632,-156.7099,57.9924,-18.2824
1.9999,-0.1797,-0.7104,-165.8931,57.5573,-26.6489
1.9999,-0.1836,-0.6855,-173.6565,57.2748,-33.8855
1.9999,-0.1877,-0.6587,-180.9008,57.3664,-40.9542
1.9999,-0.1914,-0.6172,-187.7786,58.374,-47.8244
1.9999,-0.1926,-0.6008,-193.7099,59.5649,-54.0305
1.9999,-0.2041,-0.5693,-200.0687,61.542,-61.4885
1.9999,-0.2085,-0.5425,-205.9237,64.0611,-68.0992
1.9999,-0.2214,-0.5007,-211.2748,66.8244,-74.7099
1.9999,-0.2422,-0.4568,-216.4275,69.4351,-81.1069
1.9999,-0.252,-0.3992,-221.4809,71.8473,-87.4962
1.9999,-0.2673,-0.3437,-226.145,74.229,-95.0916
1.9999,-0.2532,-0.2957,-230.4427,75.855,-99.4962
1.9999,-0.2622,-0.2759,-234.0305,77.9466,-105.1908
1.9999,-0.2815,-0.1975,-238.0992,78.4351,-111.7176
1.9999,-0.3127,-0.1482,-241.3969,78.6412,-117.4198
1.9999,-0.3359,-0.1038,-244.7328,78.8244,-123.1603
1.9999,-0.3562,-0.0522,-247.5573,78.4275,-129.2519
1.9999,-0.3835,-0.019,-249.9924,78.4427,-135.1221
1.9999,-0.4055,0.0422,-250.1374,78.4962,-141.687
1.9999,-0.4268,0.0737,-250.1374,78.3588,-148.3435
1.9999,-0.4465,0.1277,-250.1374,77.7634,-154.771
1.9999,-0.4609,0.1448,-250.1374,76.9771,-161.6794
1.9999,-0.4788,0.175,-250.1374,75.7405,-168.0687
1.9999,-0.5051,0.2146,-250.1374,73.6794,-174.8855
1.9999,-0.5432,0.2429,-250.1374,71.2901,-181.6718
1.9999,-0.5662,0.2517,-250.1374,68.5496,-188.5191
1.9999,-0.5771,0.2771,-250.1374,65.1298,-195.6488
1.9999,-0.5728,0.3264,-250.1374,61.1221,-202.3359
1.9999,-0.574,0.3608,-250.1374,56.8015,-209.4809
1.9999,-0.5798,0.3896,-250.1374,51.7023,-216.1374
1.9999,-0.5823,0.4272,-250.1374,45.1527,-222.6412
1.9999,-0.6084,0.4536,-250.1374,38.542,-229.5114
1.9999,-0.6326,0.4753,-250.1374,31.7786,-236.1374
1.9999,-0.6687,0.4958,-250.1374,24.4427,-242.7405
1.9999,-0.6748,0.5247,-250.1374,16.7328,-250.0153
1.9999,-0.6799,0.5549,-250.1374,9.6489,-250.1374
1.9999,-0.6936,0.5808,-250.1374,2.4427,-250.1374
1.9999,-0.6875,0.5908,-250.1374,-3.5725,-250.1374
1.9999,-0.697,0.6057,-250.1374,-8.8015,-250.1374
1.9999,-0.6924,0.6045,-250.1374,-12.5649,-250.1374
1.9999,-0.7095,0.6003,-250.1374,-14.0153,-250.1374
1.9999,-0.7195,0.6011,-250.1374,-14.2061,-250.1374
1.9999,-0.7522,0.5979,-250.1374,-12.7481,-250.1374
1.9999,-0.7732,0.5959,-250.1374,-10.2595,-250.1374
1.9999,-0.8086,0.6165,-250.1374,-6.5649,-250.1374
1.9999,-0.8345,0.6311,-250.1374,-0.4198,-250.1374
1.9999,-0.8376,0.6511,-250.1374,6.2672,-250.1374
1.9999,-0.8425,0.6792,-250.1374,13.0458,-250.1374
1.9999,-0.8713,0.7268,-250.1374,19.9008,-250.1374
1.9999,-0.8818,0.751,-250.1374,25.9389,-250.1374
1.9999,-0.9075,0.8076,-246.6794,32.5344,-250.1374
1.9922,-0.9309,0.8538,-242.0992,37.9924,-250.1374
1.9187,-0.9443,0.8877,-236.4962,43.0534,-250.1374
1.8479,-0.9373,0.915,-230.1298,47.7405,-250.1374
1.7698,-0.9302,0.9204,-222.8626,52.0687,-250.1374
1.6975,-0.9346,0.9199,-215.4733,56.4504,-250.1374
1.6306,-0.9514,0.9336,-207.8473,60.7099,-250.1374
1.5598,-0.9446,0.9553,-200.5725,64.4962,-250.1374
1.5254,-0.9392,0.96,-193.3969,67.8244,-250.1374
1.4717,-0.9451,0.9492,-186.374,71.4427,-250.1374
1.3911,-0.946,0.9741,-179.1603,74.3969,-250.1374
1.3379,-0.9363,1.0015,-172.5191,76.4504,-250.1374
1.2773,-0.9202,1.0403,-166.1985,77.9847,-250.1374
1.2175,-0.906,1.0737,-159.9618,77.8168,-250.1374
1.1704,-0.8735,1.0935,-154.0458,77.313,-250.1374
1.1218,-0.8623,1.1287,-148.1069,76.2137,-250.1374
1.0945,-0.8569,1.1619,-142.5649,74.458,-250.1374
1.0676,-0.8372,1.1909,-136.0076,72.0687,-250.1374
1.0349,-0.8262,1.2024,-130.0229,69.4885,-250.1374
1.019,-0.8169,1.2222,-123.771,66.4657,-250.1374
1.0103,-0.8081,1.2278,-117.4504,63.7405,-250.1374
0.9956,-0.8015,1.2405,-110.687,61.4656,-250.1374
0.99,-0.7993,1.2373,-104.3359,58.9466,-250.1374
0.9929,-0.8052,1.2437,-97.7176,56.9695,-250.1374
0.9822,-0.8,1.2517,-91.4427,55.2519,-250.1374
0.9836,-0.7954,1.2607,-84.5573,53.855,-250.1374
0.9841,-0.7834,1.2668,-78.0611,52.6107,-250.1374
0.9802,-0.7744,1.2666,-71.3893,51.0992,-250.1374
0.9753,-0.77,1.2769,-65.2519,49.1832,-250.1374
0.9883,-0.7546,1.2915,-58.9389,47.7099,-250.1374
1.0007,-0.7395,1.291,-52.4809,46.0687,-250.1374
1.0005,-0.7341,1.2939,-46.2748,44.8855,-250.1374
1.0161,-0.7227,1.2837,-40.2061,44.2519,-250.1374
1.0251,-0.717,1.281,-34.2443,44.4885,-250.1374
1.0237,-0.6987,1.2771,-28.2748,45.626,-250.1374
1.0356,-0.6858,1.2686,-22.4351,47.8244,-250.1374
1.0381,-0.679,1.2456,-16.8397,51.229,-250.1374
1.0488,-0.6892,1.2256,-10.8473,55.9389,-250.1374
1.0388,-0.7021,1.2004,-5.0458,61.5344,-250.1374
1.0256,-0.6992,1.2117,0.626,67.1374,-250.1374
1.0078,-0.6938,1.2,6.4427,73.2061,-250.1374
0.9719,-0.6821,1.2061,12.313,79.2443,-250.1374
0.9521,-0.6694,1.2056,19.0763,85.3817,-250.1374
0.9102,-0.6533,1.2097,25.6107,91.145,-250.1374
0.8625,-0.6372,1.2134,32.5496,96.3588,-250.1374
0.8125,-0.6191,1.2126,39.5954,101.1679,-250.1374
0.7678,-0.6121,1.2119,47.2595,104.8244,-250.1374
0.7234,-0.5981,1.2056,54.5573,108.2214,-250.1374
0.6772,-0.5852,1.1865,61.8015,110.5038,-250.1374
0.6348,-0.5735,1.1619,71.6489,112.5802,-250.1374
0.6106,-0.5781,1.1189,79.2061,113.6794,-250.1374
0.5823,-0.5632,1.0801,86.2977,114.4809,-250.1374
0.5581,-0.5444,1.0427,93.2443,114.9008,-250.1374
0.5391,-0.5256,1.0061,99.7328,115.2214,-250.1374
0.5354,-0.5222,0.9834,106.0229,115.2214,-250.1374
0.5186,-0.5022,0.9497,112.2443,114.9466,-250.1374
0.5168,-0.4717,0.8918,117.3359,114.6183,-250.1374
0.5042,-0.4465,0.854,122.4427,114.3206,-250.1374
0.4968,-0.418,0.8157,126.6183,113.6412,-250.1374
0.4868,-0.3982,0.7695,130.9008,112.7252,-250.1374
0.479,-0.3711,0.7375,134.3435,112.0763,-250.1374
0.4824,-0.343,0.6992,137.0229,111.1145,-250.1374
0.4756,-0.3179,0.6689,139.8168,110.084,-250.1374
0.4653,-0.3081,0.6487,141.9542,109.0076,-250.1374
0.4578,-0.3015,0.6216,143.542,107.7176,-250.1374
0.4446,-0.2744,0.5967,145.3053,106.3664,-250.1374
0.4285,-0.2629,0.5642,146.313,104.6412,-250.1374
0.4136,-0.2488,0.5535,147.4198,103.1679,-250.1374
0.3865,-0.2358,0.519,148.2824,101.4046,-250.1374
0.3535,-0.2222,0.5281,149.2137,99.6183,-250.1374
